"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","leabit","Least Bittern","Ixobrychus exilis",0.02,0.01,0,0.03,"prebreeding_migration","05-17",0.06924,"32 of 35","Wetlands:  Freshwater Marsh",NA
"Massachusetts","leafly","Least Flycatcher","Empidonax minimus",0.13,0.08,0,0.22,"prebreeding_migration","05-03",0.9649,"13 of 22","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Massachusetts","leasan","Least Sandpiper","Calidris minutilla",0,0.11,0,0.05,"postbreeding_migration","08-23",0.2978,NA,"Wetlands:  Tundra",NA
"Massachusetts","leater1","Least Tern","Sternula antillarum",3.48,2.31,0,2.09,"breeding","07-19",4.137,"6 of 31","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","lessca","Lesser Scaup","Aythya affinis",0,0.02,0.07,0.01,"nonbreeding","01-04",0.1127,NA,"Wetlands:  Lakes and Rivers","Wetlands:  Freshwater Marsh"
"Massachusetts","lesyel","Lesser Yellowlegs","Tringa flavipes",0,0.02,0,0,"postbreeding_migration","08-23",0.06469,NA,"Wetlands:  Boreal",NA
"Massachusetts","linspa","Lincoln's Sparrow","Melospiza lincolnii",0,0.07,0,0.01,"postbreeding_migration","09-27",0.3054,NA,"Wetlands:  Boreal","Forests:  Temperate Western"
"Massachusetts","lotduc","Long-tailed Duck","Clangula hyemalis",0,0.58,1.59,0.46,"unidentified","01-04",28.68,NA,"Wetlands:  Tundra",NA
"Massachusetts","louwat","Louisiana Waterthrush","Parkesia motacilla",0.97,0.26,0,0.57,"prebreeding_migration","05-03",1.094,"22 of 34","Wetlands:  Lakes and Rivers","Forests:  Temperate Eastern"
"Massachusetts","magwar","Magnolia Warbler","Setophaga magnolia",0.04,0.21,0,0.25,"prebreeding_migration","05-10",0.9057,"10 of 13","Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","mallar3","Mallard","Anas platyrhynchos",0.08,0.04,0.06,0.05,"breeding","07-05",0.1054,"27 of 48","Wetlands:  Generalist",NA
"Massachusetts","marwre","Marsh Wren","Cistothorus palustris",0.1,0.08,0.08,0.1,"nonbreeding","12-27",0.2965,"28 of 38","Wetlands:  Freshwater Marsh",NA
"Massachusetts","merlin","Merlin","Falco columbarius",0,0.07,0.14,0.05,"postbreeding_migration","10-11",0.4574,NA,"Forests:  Boreal","Open Country:  Habitat Mosaic"
"Massachusetts","moudov","Mourning Dove","Zenaida macroura",0.17,0.23,0.29,0.23,"nonbreeding","02-15",0.3344,"43 of 48","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Massachusetts","mouwar","Mourning Warbler","Geothlypis philadelphia",0.01,0.03,0,0.16,"prebreeding_migration","05-17",0.5469,"11 of 11","Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","mutswa","Mute Swan","Cygnus olor",0.14,0.14,0.22,0.16,"nonbreeding","12-27",0.2443,"3 of 10","Wetlands:  Generalist",NA
"Massachusetts","naswar","Nashville Warbler","Leiothlypis ruficapilla",0,0.11,0,0.13,"prebreeding_migration","05-10",0.4531,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","norcar","Northern Cardinal","Cardinalis cardinalis",0.3,0.3,0.3,0.3,"resident","year round resident",NA,"30 of 40","Open Country:  Habitat Mosaic","Aridlands:  Desert Scrub"
"Massachusetts","norfli","Northern Flicker","Colaptes auratus",0.25,0.24,0.17,0.27,"prebreeding_migration","04-12",0.4393,"39 of 49","Forests:  Generalist",NA
"Massachusetts","norhar2","Northern Harrier","Circus hudsonius",0.03,0.05,0.08,0.04,"nonbreeding","01-04",0.08803,"20 of 24","Grasslands:  Temperate","Wetlands:  Freshwater Marsh"
"Massachusetts","normoc","Northern Mockingbird","Mimus polyglottos",0.07,0.11,0.13,0.08,"nonbreeding","01-04",0.1527,"32 of 40","Open Country:  Habitat Mosaic",NA
"Massachusetts","norpar","Northern Parula","Setophaga americana",0,0.44,0,0.22,"postbreeding_migration","09-27",1.175,NA,"Forests:  Temperate Eastern","Forests:  Boreal"
"Massachusetts","norshr4","Northern Shrike","Lanius borealis",0,0,0.02,0.01,"nonbreeding","12-27",0.03034,NA,"Forests:  Boreal","Tundra:  Arctic"
"Massachusetts","norwat","Northern Waterthrush","Parkesia noveboracensis",0.07,0.09,0,0.19,"prebreeding_migration","05-03",1.872,"9 of 17","Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis",0.2,0.01,0,0.11,"prebreeding_migration","05-03",0.301,"42 of 48","Open Country Aerial:  Habitat Mosaic","Wetlands Aerial:  Lakes and Rivers"
"Massachusetts","nstspa","Nelson's Sparrow","Ammospiza nelsoni",0,0.07,0.01,0,"postbreeding_migration","10-18",1.238,NA,"Wetlands:  Seasonally Wet Grasslands","Coasts:  Saltmarsh"
"Massachusetts","nswowl","Northern Saw-whet Owl","Aegolius acadicus",0.02,1.86,10.39,0,"nonbreeding","01-11",22.14,"16 of 19","Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","olsfly","Olive-sided Flycatcher","Contopus cooperi",0,0.04,0,0.02,"postbreeding_migration","09-06",0.1864,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","orcori","Orchard Oriole","Icterus spurius",0.14,0.02,0,0.15,"prebreeding_migration","05-10",0.3028,"36 of 38","Forests:  Temperate Eastern",NA
"Massachusetts","orcwar","Orange-crowned Warbler","Leiothlypis celata",0,0.01,0.01,0,"postbreeding_migration","10-18",0.04715,NA,"Forests:  Temperate Western","Forests:  Boreal"
"Massachusetts","osprey","Osprey","Pandion haliaetus",1.08,0.38,0,0.64,"prebreeding_migration","04-12",1.476,"13 of 46","Wetlands:  Lakes and Rivers","Coasts:  Saltmarsh"
"Massachusetts","ovenbi1","Ovenbird","Seiurus aurocapilla",1.18,0.45,0,1.19,"prebreeding_migration","05-03",2.672,"10 of 34","Forests:  Temperate Eastern","Forests:  Boreal"
"Massachusetts","palwar","Palm Warbler","Setophaga palmarum",0,0.44,0.01,0.74,"prebreeding_migration","04-19",3.948,NA,"Wetlands:  Boreal",NA
"Massachusetts","parjae","Parasitic Jaeger","Stercorarius parasiticus",0.01,0.28,0,0.01,"postbreeding_migration","10-11",4.4,"2 of 2","Wetlands:  Tundra","Tundra:  Arctic"
"Massachusetts","perfal","Peregrine Falcon","Falco peregrinus",0.01,0.05,0.04,0.02,"postbreeding_migration","10-11",0.1854,"24 of 24","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Massachusetts","phivir","Philadelphia Vireo","Vireo philadelphicus",0,0.19,0,0,"postbreeding_migration","09-20",1.286,NA,"Forests:  Boreal",NA
"Massachusetts","pibgre","Pied-billed Grebe","Podilymbus podiceps",0,0.03,0.01,0.02,"postbreeding_migration","10-25",0.07514,NA,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","pilwoo","Pileated Woodpecker","Dryocopus pileatus",0.3,0.3,0.3,0.3,"resident","year round resident",NA,"34 of 40","Forests:  Temperate Generalist",NA
"Massachusetts","pinsis","Pine Siskin","Spinus pinus",0,0.21,0.01,0,"postbreeding_migration","10-11",0.8145,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","pinwar","Pine Warbler","Setophaga pinus",1.67,0.62,0.05,0.71,"prebreeding_migration","04-19",2.362,"16 of 32","Forests:  Temperate Eastern",NA
"Massachusetts","pipplo","Piping Plover","Charadrius melodus",24.75,9.02,0,14.23,"postbreeding_migration","07-05",28.68,"1 of 20","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","pomjae","Pomarine Jaeger","Stercorarius pomarinus",0,0.01,0,0,"unidentified","12-27",4.441,NA,"Wetlands:  Tundra",NA
"Massachusetts","prawar","Prairie Warbler","Setophaga discolor",1.5,0.68,0,0.67,"breeding","07-05",2.589,"17 of 29","Forests:  Temperate Eastern",NA
"Massachusetts","purfin","Purple Finch","Haemorhous purpureus",0.17,1.14,0.18,0.23,"postbreeding_migration","09-20",1.799,"12 of 16","Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","purmar","Purple Martin","Progne subis",0.01,0,0,0,"breeding","05-17",0.0279,"40 of 40","Open Country Aerial:  Habitat Mosaic","Wetlands Aerial:  Lakes and Rivers"
"Massachusetts","pursan","Purple Sandpiper","Calidris maritima",0,0.06,0.45,0.22,"prebreeding_migration","05-03",0.7459,NA,"Wetlands:  Tundra","Tundra:  Arctic"
"Massachusetts","rebmer","Red-breasted Merganser","Mergus serrator",0,0.83,1.6,0.86,"prebreeding_migration","04-12",2.617,NA,"Wetlands:  Tundra","Wetlands:  Boreal"
"Massachusetts","rebnut","Red-breasted Nuthatch","Sitta canadensis",0.22,0.35,0.43,0.32,"nonbreeding","11-29",0.674,"20 of 30","Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","rebwoo","Red-bellied Woodpecker","Melanerpes carolinus",0.37,0.37,0.37,0.37,"resident","year round resident",NA,"29 of 38","Forests:  Temperate Eastern",NA
"Massachusetts","redcro","Red Crossbill","Loxia curvirostra",0.01,0.1,0.19,0.07,"postbreeding_migration","11-22",0.6083,"26 of 26","Forests:  Temperate Generalist",NA
"Massachusetts","redkno","Red Knot","Calidris canutus",0.14,0.17,0,0.01,"postbreeding_migration","08-30",0.4283,"5 of 8","Tundra:  Arctic",NA
"Massachusetts","reevir1","Red-eyed Vireo","Vireo olivaceus",0.52,0.41,0,0.39,"postbreeding_migration","09-27",0.7206,"25 of 42","Forests:  Temperate Generalist",NA
"Massachusetts","rengre","Red-necked Grebe","Podiceps grisegena",0,0.02,0.26,0.04,"nonbreeding","01-04",0.3509,NA,"Wetlands:  Lakes and Rivers",NA
"Massachusetts","reshaw","Red-shouldered Hawk","Buteo lineatus",0.52,0.49,0.17,0.47,"prebreeding_migration","03-22",0.6583,"26 of 38","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Massachusetts","rethaw","Red-tailed Hawk","Buteo jamaicensis",0.21,0.22,0.23,0.23,"prebreeding_migration","03-15",0.3124,"43 of 49","Open Country:  Habitat Mosaic",NA
"Massachusetts","retloo","Red-throated Loon","Gavia stellata",0,0.44,1.7,1.18,"prebreeding_migration","04-05",13.94,NA,"Wetlands:  Tundra","Wetlands:  Boreal"
"Massachusetts","rewbla","Red-winged Blackbird","Agelaius phoeniceus",0.32,0.09,0.02,0.14,"breeding","07-12",0.3626,"39 of 48","Open Country:  Habitat Mosaic","Wetlands:  Freshwater Marsh"
"Massachusetts","ribgul","Ring-billed Gull","Larus delawarensis",0.15,0.38,0.42,0.27,"postbreeding_migration","11-15",0.6284,"26 of 42","Wetlands:  Generalist",NA
"Massachusetts","rinduc","Ring-necked Duck","Aythya collaris",0,0.29,0.34,0.33,"prebreeding_migration","03-15",0.9105,NA,"Wetlands:  Boreal",NA
"Massachusetts","robgro","Rose-breasted Grosbeak","Pheucticus ludovicianus",0.79,0.54,0,0.57,"postbreeding_migration","09-13",1.308,"13 of 27","Forests:  Temperate Eastern",NA
"Massachusetts","rocpig","Rock Pigeon","Columba livia",0.01,0.01,0.01,0.01,"resident","year round resident",NA,"40 of 40","Open Country:  Developed/Disturbed",NA
"Massachusetts","rthhum","Ruby-throated Hummingbird","Archilochus colubris",0.54,0.36,0,0.42,"prebreeding_migration","05-10",0.7899,"27 of 37","Forests:  Temperate Eastern",NA
"Massachusetts","ruckin","Ruby-crowned Kinglet","Corthylio calendula",0,0.11,0.01,0.08,"prebreeding_migration","04-19",0.413,NA,"Forests:  Boreal","Forests:  Temperate Western"
